FanFooty player ID, AFL player id, first name (may include middle initial), surname, AFL team, AFL status (senior/rookie/long-term injured/AFL suspension/club suspension), jumper number, date of birth, height in cm, weight in kg, state of origin, recruited from, games,goals
43031,294472,Rory,Atkins,Adelaide,senior,21,12/07/1994,186,85,VIC,Calder Cannons,94,"45"""
1549,240060,Eddie,Betts,Adelaide,senior,18,26/11/1986,175,73,VIC,Calder Cannons,312,"595"""
42301,293193,Luke,Brown,Adelaide,senior,16,20/01/1992,183,81,SA,Norwood,145,"13"""
49119,1004995,Jordon,Butts,Adelaide,rookie,41,31/12/1999,195,80,VIC,Murray Bushrangers,,""""
42260,294307,Brad,Crouch,Adelaide,senior,2,12/01/1994,187,88,VIC,North Ballarat Rebels,78,"30"""
44012,297401,Matt,Crouch,Adelaide,senior,5,21/04/1995,183,82,VIC,North Ballarat Rebels,104,"23"""
47096,298417,Ben,Davis,Adelaide,senior,40,19/05/1997,188,79,NSW,UNSW,1,"0"""
46081,1000932,Tom,Doedee,Adelaide,senior,39,1/03/1997,189,87,VIC,Geelong Falcons,21,"2"""
2043,240370,Richard,Douglas,Adelaide,senior,26,6/02/1987,181,80,VIC,Calder Cannons,242,"162"""
42316,293479,Cam,Ellis-Yolmen,Adelaide,senior,28,28/01/1993,190,94,SA,Woodville-West Torrens,39,"15"""
48006,999331,Darcy,Fogarty,Adelaide,senior,32,25/09/1999,192,95,SA,Glenelg,10,"9"""
47024,998106,Jordan,Gallucci,Adelaide,senior,7,4/05/1998,182,78,VIC,Eastern Ranges,27,"19"""
39495,250417,Bryce,Gibbs,Adelaide,senior,6,15/03/1989,187,85,SA,Glenelg,261,"152"""
46118,281091,Hugh,Greenwood,Adelaide,senior,1,6/03/1992,190,90,TAS,Perth Wildcats,50,"36"""
49062,1008159,Will,Hamill,Adelaide,senior,35,17/11/2000,185,70,VIC,Dandenong Stingrays,,""""
42090,290228,Kyle,Hartigan,Adelaide,senior,15,11/07/1991,195,98,VIC,Werribee  ,97,"1"""
47082,1005199,Elliott,Himmelberg,Adelaide,senior,34,4/06/1998,198,89,QLD,Redlands,8,"9"""
46105,992597,Paul,Hunter,Adelaide,rookie,37,9/02/1993,200,100,QLD,Redland,0,"0"""
39578,270811,Sam,Jacobs,Adelaide,senior,24,10/04/1988,202,102,SA,Woodville West Torrens,198,"48"""
42159,294828,Josh,Jenkins,Adelaide,senior,4,8/02/1989,200,108,VIC,Lake Boga,146,"295"""
49023,1006203,Chayce,Jones,Adelaide,senior,20,14/01/2000,179,73,TAS,Launceston,6,"1"""
42099,290797,Alex,Keath,Adelaide,senior,42,20/01/1992,198,97,VIC,Murray Bushrangers,29,"1"""
44097,297473,Jake,Kelly,Adelaide,senior,8,21/01/1995,189,90,VIC,Oakleigh Chargers,70,"1"""
44047,295103,Riley,Knight,Adelaide,senior,3,27/03/1995,181,77,SA,Woodville-West Torrens,50,"34"""
42344,293222,Rory,Laird,Adelaide,senior,29,29/12/1993,178,81,SA,West Adelaide,138,"12"""
40030,270938,Tom T.,Lynch,Adelaide,senior,27,15/09/1990,191,88,VIC,Sandringham Dragons,134,"185"""
39486,250362,David,Mackay,Adelaide,senior,14,25/07/1988,182,77,VIC,Oakleigh,215,"60"""
49070,298470,Shane,McAdam,Adelaide,senior,23,28/05/1995,185,84,WA,Sturt,,""""
49017,1008185,Ned,McHenry,Adelaide,senior,25,13/07/2000,176,71,VIC,Geelong Falcons,,""""
