Round,Game Number,Team One ID,Team One Team Name,Team One Points,Team One Final,Team Two ID,Team Two Team Name,Team Two Final,Team Two Points
1,1,344,TryingAnewStratton,1627,18,831,Salt&VinegarCripps,18,1667
1,2,2501,Swimming n Titch,1595,18,7061,DEVQON.1,18,1742
1,3,8740,Barbeques Treloar,1640,18,11070,Fire The Worpedo,18,1499
1,4,397,Man of Steele,1660,18,25252,Casting Crouch,18,1718
2,1,344,TryingAnewStratton,1526,18,2501,Swimming n Titch,18,1547
2,2,8740,Barbeques Treloar,1745,18,831,Salt&VinegarCripps,18,1542
2,3,397,Man of Steele,1672,18,7061,DEVQON.1,18,1662
2,4,25252,Casting Crouch,1659,18,11070,Fire The Worpedo,18,1684
3,1,344,TryingAnewStratton,1692,18,8740,Barbeques Treloar,18,1407
3,2,397,Man of Steele,1750,18,2501,Swimming n Titch,18,1721
3,3,25252,Casting Crouch,1716,18,831,Salt&VinegarCripps,18,1599
3,4,11070,Fire The Worpedo,1499,18,7061,DEVQON.1,18,1751
4,1,344,TryingAnewStratton,1647,18,397,Man of Steele,18,1824
4,2,25252,Casting Crouch,1586,18,8740,Barbeques Treloar,18,1340
4,3,11070,Fire The Worpedo,1567,17,2501,Swimming n Titch,18,1629
4,4,7061,DEVQON.1,1706,18,831,Salt&VinegarCripps,18,1523
5,1,344,TryingAnewStratton,1806,18,25252,Casting Crouch,18,1564
5,2,11070,Fire The Worpedo,1541,18,397,Man of Steele,18,1594
5,3,7061,DEVQON.1,1405,18,8740,Barbeques Treloar,18,1555
5,4,831,Salt&VinegarCripps,1649,18,2501,Swimming n Titch,18,1580
6,1,344,TryingAnewStratton,1746,18,11070,Fire The Worpedo,18,1503
6,2,7061,DEVQON.1,1636,18,25252,Casting Crouch,18,1605
6,3,831,Salt&VinegarCripps,1562,18,397,Man of Steele,18,1808
6,4,2501,Swimming n Titch,1417,18,8740,Barbeques Treloar,18,1787
7,1,344,TryingAnewStratton,1533,18,7061,DEVQON.1,17,1662
7,2,831,Salt&VinegarCripps,1762,18,11070,Fire The Worpedo,18,1453
7,3,2501,Swimming n Titch,1554,17,25252,Casting Crouch,18,1529
7,4,8740,Barbeques Treloar,1547,18,397,Man of Steele,18,1720
8,1,344,TryingAnewStratton,1687,18,831,Salt&VinegarCripps,18,1508
8,2,2501,Swimming n Titch,1509,18,7061,DEVQON.1,18,1884
8,3,8740,Barbeques Treloar,1523,17,11070,Fire The Worpedo,18,1583
8,4,397,Man of Steele,1717,18,25252,Casting Crouch,18,1549
