,id,feed_id,ln,fn,fi,pos,pos2,posn,pos2n,team_id,team,teamfull,pic,gs,rds,avg,mp,tmp,tog,ppm,tppm,avg3,avg5,form,pts,tpts,livepts,mvp,rank,lrank,rank_change,rdrank,ski,tski,sha,tsha,sma,tsma,sta,tsta,sfk,tsfk,sfa,tsfa,shi,tshi,sgl,tsgl,sbh,tsbh,status,status_comment,std,sels,selspct,selspctraw,opp,team_played_status,hot,cold,phot,pcold,ccow,wele,rd,index,p1,p2,p3,kickoff_time,match_status,team_opponent,played_status,fn_i,points,proj_points,stats.kicks,stats.handballs,stats.marks,stats.tackles,stats.freekicks_for,stats.freekicks_against,stats.hitouts,stats.goals,stats.behinds,Round,Match Name,Match Name with Team Name,Team ID,Team Name,Coach,Full Name,On Field?
0,202,270935,Hurley,Michael,M,DEF,,Defender,,5,ESS,Essendon,TRUE,1,1,62,113,113,113,0.548672566,0.548672566,62,62,62,62,62,101,7932.258065,265,0,0,265,14,14,3,3,7,7,0,0,2,2,-1,-1,0,0,0,0,0,0,none,,,2929,8.70%,8.659787718,COL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,D,E,F,1566553800,LOSS &lt;br&gt;40 - 112,GWS,post,M,62,92,14,3,7,0,2,-1,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Michael Hurley,TRUE
1,89,998128,Witherden,Alex,A,DEF,,Defender,,2,BRL,Brisbane,TRUE,1,1,97,110,110,110,0.881818182,0.881818182,97,97,97,97,97,77,4690.721649,74,0,0,74,16,16,9,9,7,7,0,0,2,2,-2,-2,0,0,0,0,0,0,none,,,2756,8.10%,8.148301452,RIC,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,D,E,F,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,A,97,92,16,9,7,0,2,-2,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Alex Witherden,TRUE
2,80,271072,Rich,Daniel,D,DEF,,Defender,,2,BRL,Brisbane,TRUE,1,1,97,112,112,112,0.866071429,0.866071429,97,97,97,97,97,127,4414.43299,74,0,0,74,21,21,2,2,8,8,1,1,0,0,0,0,0,0,1,1,0,0,none,,,1372,4.10%,4.056411318,RIC,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,3,D,E,F,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,D,97,83,21,2,8,1,0,0,0,1,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Daniel Rich,TRUE
3,626,261362,Rance,Alex,A,DEF,,Defender,,12,RIC,Richmond,TRUE,1,1,36,85,85,85,0.423529412,0.423529412,36,36,36,36,36,0,12447.22222,370,0,0,370,3,3,3,3,2,2,2,2,1,1,-2,-2,0,0,0,0,0,0,none,,,2596,7.70%,7.675250569,BRL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,D,E,F,1566710400,WIN &lt;br&gt;97 - 64,CAR,post,A,36,67,3,3,2,2,1,-2,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Alex Rance,TRUE
4,262,998659,Ryan,Luke,L,DEF,,Defender,,6,FRE,Fremantle,TRUE,1,1,91,95,95,95,0.957894737,0.957894737,91,91,91,91,91,78,5383.516484,101,0,0,101,13,13,2,2,5,5,2,2,1,1,-3,-3,0,0,1,1,0,0,none,,,2914,8.60%,8.615439198,PTA,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,5,D,E,F,1566715200,WIN &lt;br&gt;141 - 59,NTH,post,L,91,91,13,2,5,2,1,-3,0,1,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Luke Ryan,TRUE
5,226,270951,Zaharakis,David,D,MID,,Midfielder,,5,ESS,Essendon,TRUE,1,1,90,109,109,109,0.825688073,0.825688073,90,90,90,90,90,60,5655.555556,108,0,0,108,13,13,12,12,7,7,2,2,1,1,-3,-3,0,0,0,0,0,0,none,,,2438,7.20%,7.208112823,COL,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,M,I,D,1566553800,LOSS &lt;br&gt;40 - 112,GWS,post,D,90,91,13,12,7,2,1,-3,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,David Zaharakis,TRUE
6,471,250222,Jones,Nathan,N,MID,,Midfielder,,10,MEL,Melbourne,TRUE,1,1,71,88,88,88,0.806818182,0.806818182,71,71,71,71,71,67,6467.605634,214,0,0,214,12,12,7,7,6,6,1,1,0,0,0,0,0,0,1,1,0,0,none,,,1881,5.60%,5.561304438,NTH,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,7,M,I,D,1566619800,LOSS &lt;br&gt;61 - 87,PTA,post,N,71,75,12,7,6,1,0,0,0,1,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Nathan Jones,TRUE
7,800,281373,Redden,Jack,J,MID,,Midfielder,,16,WCE,West Coast,TRUE,1,1,85,105,105,105,0.80952381,0.80952381,85,85,85,85,85,77,6087.058824,138,0,0,138,10,10,12,12,4,4,5,5,1,1,0,0,0,0,0,0,0,0,none,,,2691,8.00%,7.956124531,HAW,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,9,M,I,D,1566641400,LOSS &lt;br&gt;58 - 102,BRL,post,J,85,96,10,12,4,5,1,0,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Jack Redden,TRUE
8,808,280078,Shuey,Luke,L,MID,,Midfielder,,16,WCE,West Coast,TRUE,1,1,101,97,97,97,1.041237113,1.041237113,101,101,101,101,101,105,4878.217822,55,0,0,55,23,23,3,3,2,2,3,3,2,2,0,0,0,0,0,0,0,0,none,,,2664,7.90%,7.876297194,HAW,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,10,M,I,D,1566641400,LOSS &lt;br&gt;58 - 102,BRL,post,L,101,88,23,3,2,3,2,0,0,0,0,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Luke Shuey,TRUE
9,726,297373,Bontempelli,Marcus,M,MID,,Midfielder,,15,WBD,Western Bulldogs,TRUE,1,1,158,96,96,96,1.645833333,1.645833333,158,158,158,158,158,97,3573.417722,1,0,0,1,17,17,12,12,5,5,7,7,2,2,0,0,0,0,1,1,2,2,none,,,2976,8.80%,8.798746415,ADE,post,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,11,M,I,D,1566702600,WIN &lt;br&gt;82 - 65,SYD,post,M,158,125,17,12,5,7,2,0,0,1,2,1,Mark vs Lester,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Mark,Marcus Bontempelli,TRUE
