Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
153,Brodie,Grundy,RUC,,COL,N/A,N/A,N/A,Man of Steele,,,owner,2860,22,157,130,122,120.8,N/A,Grundy didn't have a massive start to the season but he did come home well after a slow start to the game. He gave away 5 free kicks and just the 55% efficiency rating from his 18 touches.,
748,Jack,Macrae,MID,,WBD,N/A,N/A,N/A,Casting Crouch,,,owner,2710,22,119,123.18,120.33,133.8,N/A,Macrae had the second best score for the Dogs from his 32 touches and 3 tackles. He also had a massive 15 clearances. His efficiency was down at 68% but owners can't be unhappy with a return of 132.,
464,Max,Gawn,RUC,,MEL,N/A,N/A,N/A,Fire The Worpedo,,,owner,2696,21,212,128.38,143.33,139.4,N/A,Gawn was targeted by the Power players and his scoring suffered as a result. He managed to get himself to 87 but at his price tag we need him back over 110.,
77,Lachie,Neale,MID,,BRL,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2668,22,190,121.27,126,119.8,N/A,Neale has had a great start to his Lions career and top scored for the Lions. His 29 touches included 14 contested but impressively he used the ball well with 86% efficiency.,
734,Josh,Dunkley,FWD,MID,WBD,N/A,N/A,N/A,TryingAnewStratton,,,owner,2562,22,106,116.45,142.67,124.6,N/A,Dunkley didn't take any marks but he did lay 7 tackles and have 20 touches. He just missed the 100 so don't panic just yet if you are an owner.,
726,Marcus,Bontempelli,MID,,WBD,N/A,N/A,N/A,Swimming n Titch,,,owner,2524,22,140,114.73,109.67,125.4,N/A,Bontempelli showed us exactly why he has been a popular pick in previous seasons. 29 touches and 7 tackles including a goal was a great result which delivered owners 158 points. His role was a mix of midfield and forward time. Hopefully he can spend more time in the midfield to maintain high scores.,
178,Adam,Treloar,MID,,COL,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2495,22,99,113.41,114,128.4,N/A,Treloar had 34 touches and 6 tackles but 10 of those touches were clangers which kept his score down to just over 100. However he was the only Pie over 100 for the game. He will be a gun again this season.,
513,Todd,Goldstein,RUC,,NTH,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,2469,22,69,112.23,122.67,123.6,N/A,Goldy was one of the top scoring rucks of the week with his 102 from 23 touches 34 hitouts and a goal. A great option for those that started with him.,
331,Patrick,Dangerfield,FWD,MID,GEE,N/A,N/A,N/A,Swimming n Titch,,,owner,2419,21,156,115.19,146.33,119,N/A,Danger seemed to spend most of his time in the midfield which is exactly what we were hoping for. 27 touches and a goal was good but 6 clangers and 59% efficiency was what held him back.,
485,Clayton,Oliver,MID,,MEL,N/A,N/A,N/A,DEVQON.1,,,owner,2406,22,109,109.36,99,106.8,N/A,Oliver was quiet as he only had one mark and two tackles. The Demons didn't have a great day and this could be why he was down. Hopefully he can turn this around next week.,
243,Nat,Fyfe,MID,,FRE,N/A,N/A,N/A,Barbeques Treloar,,,owner,2400,20,108,120,118,120.4,N/A,Fyfe was great with 10 kicks and 22 handballs. His 32 touches came at 78% efficiency and he had 10 clearances which was 3 more than any other player on the ground. He is worth putting on watch for next weeks trades.,
701,Jake,Lloyd,DEF,,SYD,N/A,N/A,N/A,TryingAnewStratton,,,owner,2396,22,113,108.91,95.67,92,N/A,Lloyd was the only Swan over 100 and he got there in style from 35 touches at 85% and 10 marks. He is on his way to being one of the top defenders again.,
91,Dayne,Zorko,MID,,BRL,N/A,N/A,N/A,Swimming n Titch,,,owner,2346,22,141,106.64,129,114.6,N/A,Zorko was great with his 20 touches and 8 tackles. This is a level of scoring we are hoping to continue to see from him. The Lions were good and hopefully their form continues and it allows him to score like this.,
94,Patrick,Cripps,MID,,CAR,N/A,N/A,N/A,Barbeques Treloar,,,owner,2342,20,148,117.1,122.33,119.4,N/A,Cripps had the second best score for the Blues with 21 of his 32 touches contested and his efficiency was up at 81%. The only downside on his game was that 22 of those 32 touches were by hand.,
213,Zach,Merrett,MID,,ESS,N/A,N/A,N/A,Fire The Worpedo,,,owner,2324,22,78,105.64,99.33,99.8,N/A,Merrett didn't have a great game with just 16 touches one mark and 3 tackles. He is competing with an extra player (Shiel) in the midfield and this doesn't seem to be helping his scoring.,
712,Luke,Parker,MID,,SYD,N/A,N/A,N/A,Casting Crouch,,,owner,2312,22,141,105.09,94.67,88.8,N/A,N/A,
167,Scott,Pendlebury,MID,,COL,N/A,N/A,N/A,Fire The Worpedo,,,owner,2295,22,115,104.32,114,108.4,N/A,N/A,
342,Tim,Kelly,FWD,MID,GEE,N/A,N/A,N/A,DEVQON.1,,,owner,2276,22,115,103.45,101.67,105.4,N/A,Kelly was fantastic and had the ball on a string in the first term. His 31 touches came at a 67% but 12 of those touches were contested. Look for him to be a popular trade in in the first few weeks.,
332,Mitch,Duncan,MID,,GEE,N/A,N/A,N/A,Man of Steele,,,owner,2271,22,79,103.23,87.33,89.8,N/A,N/A,
38,Rory,Sloane,MID,,ADE,N/A,N/A,N/A,DEVQON.1,,,owner,2266,22,106,103,87.33,90.8,N/A,Sloane returned to former glory scoring that we thought he could do. 9 tackles to go with his 36 touches which came at 76% and included 11 clearances! He will come into a few teams on the back of this performance.,
815,Elliot,Yeo,MID,,WCE,N/A,N/A,N/A,Man of Steele,,,owner,2260,21,93,107.62,110.67,114.8,N/A,Yeo didn't get the score that we need him to for his price. He was one of many Eagles that had a  down day. He did have 25 touches but he did have an efficiency of only 44%. Hopefully he can turn this around next week.,
