,Round,Game Number,ID,Team Name,Coach,Final,Points,Rank,Opponent ID,Opponent Team Name,Opponent Coach,Opponent Final,Opponent Points,Opponent Rank
1,1,2,7061,DEVQON.1,Lester,18,1742,1,2501,Swimming n Titch,Mark,18,1595,7
3,1,4,25252,Casting Crouch,Jordan,18,1718,2,397,Man of Steele,Luke,18,1660,4
0,1,1,831,Salt&VinegarCripps,Anthony,18,1667,3,344,TryingAnewStratton,Paul,18,1627,6
3,1,4,397,Man of Steele,Luke,18,1660,4,25252,Casting Crouch,Jordan,18,1718,2
2,1,3,8740,Barbeques Treloar,Simon,18,1640,5,11070,Fire The Worpedo,James,18,1499,8
0,1,1,344,TryingAnewStratton,Paul,18,1627,6,831,Salt&VinegarCripps,Anthony,18,1667,3
1,1,2,2501,Swimming n Titch,Mark,18,1595,7,7061,DEVQON.1,Lester,18,1742,1
2,1,3,11070,Fire The Worpedo,James,18,1499,8,8740,Barbeques Treloar,Simon,18,1640,5
5,2,2,8740,Barbeques Treloar,Simon,18,1745,1,831,Salt&VinegarCripps,Anthony,18,1542,7
7,2,4,11070,Fire The Worpedo,James,18,1684,2,25252,Casting Crouch,Jordan,18,1659,5
6,2,3,397,Man of Steele,Luke,18,1672,3,7061,DEVQON.1,Lester,18,1662,4
6,2,3,7061,DEVQON.1,Lester,18,1662,4,397,Man of Steele,Luke,18,1672,3
7,2,4,25252,Casting Crouch,Jordan,18,1659,5,11070,Fire The Worpedo,James,18,1684,2
4,2,1,2501,Swimming n Titch,Mark,18,1547,6,344,TryingAnewStratton,Paul,18,1526,8
5,2,2,831,Salt&VinegarCripps,Anthony,18,1542,7,8740,Barbeques Treloar,Simon,18,1745,1
4,2,1,344,TryingAnewStratton,Paul,18,1526,8,2501,Swimming n Titch,Mark,18,1547,6
11,3,4,7061,DEVQON.1,Lester,18,1751,1,11070,Fire The Worpedo,James,18,1499,7
9,3,2,397,Man of Steele,Luke,18,1750,2,2501,Swimming n Titch,Mark,18,1721,3
9,3,2,2501,Swimming n Titch,Mark,18,1721,3,397,Man of Steele,Luke,18,1750,2
10,3,3,25252,Casting Crouch,Jordan,18,1716,4,831,Salt&VinegarCripps,Anthony,18,1599,6
8,3,1,344,TryingAnewStratton,Paul,18,1692,5,8740,Barbeques Treloar,Simon,18,1407,8
10,3,3,831,Salt&VinegarCripps,Anthony,18,1599,6,25252,Casting Crouch,Jordan,18,1716,4
11,3,4,11070,Fire The Worpedo,James,18,1499,7,7061,DEVQON.1,Lester,18,1751,1
8,3,1,8740,Barbeques Treloar,Simon,18,1407,8,344,TryingAnewStratton,Paul,18,1692,5
12,4,1,397,Man of Steele,Luke,18,1824,1,344,TryingAnewStratton,Paul,18,1647,3
15,4,4,7061,DEVQON.1,Lester,18,1706,2,831,Salt&VinegarCripps,Anthony,18,1523,7
12,4,1,344,TryingAnewStratton,Paul,18,1647,3,397,Man of Steele,Luke,18,1824,1
14,4,3,2501,Swimming n Titch,Mark,18,1629,4,11070,Fire The Worpedo,James,17,1567,6
13,4,2,25252,Casting Crouch,Jordan,18,1586,5,8740,Barbeques Treloar,Simon,18,1340,8
14,4,3,11070,Fire The Worpedo,James,17,1567,6,2501,Swimming n Titch,Mark,18,1629,4
15,4,4,831,Salt&VinegarCripps,Anthony,18,1523,7,7061,DEVQON.1,Lester,18,1706,2
13,4,2,8740,Barbeques Treloar,Simon,18,1340,8,25252,Casting Crouch,Jordan,18,1586,5
