,id,feed_id,ln,fn,fi,pos,pos2,posn,pos2n,team_id,team,teamfull,pic,gs,rds,avg,mp,tmp,tog,ppm,tppm,avg3,avg5,form,pts,tpts,livepts,mvp,rank,lrank,rank_change,rdrank,ski,tski,sha,tsha,sma,tsma,sta,tsta,sfk,tsfk,sfa,tsfa,shi,tshi,sgl,tsgl,sbh,tsbh,status,status_comment,std,sels,selspct,selspctraw,opp,team_played_status,hot,cold,phot,pcold,ccow,wele,rd,index,p1,p2,p3,kickoff_time,match_status,team_opponent,played_status,fn_i,points,proj_points,stats.kicks,stats.handballs,stats.marks,stats.tackles,stats.freekicks_for,stats.freekicks_against,stats.hitouts,stats.goals,stats.behinds,Round,Match Name,Team ID,Team Name,Full Name,On Field?
0,202,270935,Hurley,Michael,M,DEF,,Defender,,5,ESS,Essendon,true,1,1,62.00,113,113,113.0,0.54867256637168,0.54867256637168,62.00,62.00,62.00,62,62,101,7932.2580645161,265,0,0,265,14,14,3,3,7,7,0,0,2,2,-1,-1,0,0,0,0,0,0,none,,,2929,8.7%,8.6597877184165,COL,post,False,False,False,False,False,False,1,1,D,E,F,1566553800,LOSS &lt;br&gt;40 - 112,GWS,post,M,62,92,14,3,7,0,2,-1,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Michael Hurley,True
1,89,998128,Witherden,Alex,A,DEF,,Defender,,2,BRL,Brisbane,true,1,1,97.00,110,110,110.0,0.88181818181818,0.88181818181818,97.00,97.00,97.00,97,97,77,4690.7216494845,74,0,0,74,16,16,9,9,7,7,0,0,2,2,-2,-2,0,0,0,0,0,0,none,,,2756,8.1%,8.1483014516749,RIC,post,False,False,False,False,False,False,1,2,D,E,F,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,A,97,92,16,9,7,0,2,-2,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Alex Witherden,True
2,80,271072,Rich,Daniel,D,DEF,,Defender,,2,BRL,Brisbane,true,1,1,97.00,112,112,112.0,0.86607142857143,0.86607142857143,97.00,97.00,97.00,97,97,127,4414.4329896907,74,0,0,74,21,21,2,2,8,8,1,1,0,0,0,0,0,0,1,1,0,0,none,,,1372,4.1%,4.0564113177424,RIC,post,False,False,False,False,False,False,1,3,D,E,F,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,D,97,83,21,2,8,1,0,0,0,1,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Daniel Rich,True
3,626,261362,Rance,Alex,A,DEF,,Defender,,12,RIC,Richmond,true,1,1,36.00,85,85,85.0,0.42352941176471,0.42352941176471,36.00,36.00,36.00,36,36,0,12447.222222222,370,0,0,370,3,3,3,3,2,2,2,2,1,1,-2,-2,0,0,0,0,0,0,none,,,2596,7.7%,7.6752505691393,BRL,post,False,False,False,False,False,False,1,4,D,E,F,1566710400,WIN &lt;br&gt;97 - 64,CAR,post,A,36,67,3,3,2,2,1,-2,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Alex Rance,True
4,262,998659,Ryan,Luke,L,DEF,,Defender,,6,FRE,Fremantle,true,1,1,91.00,95,95,95.0,0.95789473684211,0.95789473684211,91.00,91.00,91.00,91,91,78,5383.5164835165,101,0,0,101,13,13,2,2,5,5,2,2,1,1,-3,-3,0,0,1,1,0,0,none,,,2914,8.6%,8.6154391981788,PTA,post,False,False,True,False,False,False,1,5,D,E,F,1566715200,WIN &lt;br&gt;141 - 59,NTH,post,L,91,91,13,2,5,2,1,-3,0,1,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Luke Ryan,True
5,226,270951,Zaharakis,David,D,MID,,Midfielder,,5,ESS,Essendon,true,1,1,90.00,109,109,109.0,0.8256880733945,0.8256880733945,90.00,90.00,90.00,90,90,60,5655.5555555556,108,0,0,108,13,13,12,12,7,7,2,2,1,1,-3,-3,0,0,0,0,0,0,none,,,2438,7.2%,7.2081128226355,COL,post,False,False,False,False,False,False,1,6,M,I,D,1566553800,LOSS &lt;br&gt;40 - 112,GWS,post,D,90,91,13,12,7,2,1,-3,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,David Zaharakis,True
6,471,250222,Jones,Nathan,N,MID,,Midfielder,,10,MEL,Melbourne,true,1,1,71.00,88,88,88.0,0.80681818181818,0.80681818181818,71.00,71.00,71.00,71,71,67,6467.6056338028,214,0,0,214,12,12,7,7,6,6,1,1,0,0,0,0,0,0,1,1,0,0,none,,,1881,5.6%,5.5613044378086,NTH,post,False,False,False,False,False,False,1,7,M,I,D,1566619800,LOSS &lt;br&gt;61 - 87,PTA,post,N,71,75,12,7,6,1,0,0,0,1,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Nathan Jones,True
7,800,281373,Redden,Jack,J,MID,,Midfielder,,16,WCE,West Coast,true,1,1,85.00,105,105,105.0,0.80952380952381,0.80952380952381,85.00,85.00,85.00,85,85,77,6087.0588235294,138,0,0,138,10,10,12,12,4,4,5,5,1,1,0,0,0,0,0,0,0,0,none,,,2691,8.0%,7.9561245306448,HAW,post,False,False,True,False,False,False,1,9,M,I,D,1566641400,LOSS &lt;br&gt;58 - 102,BRL,post,J,85,96,10,12,4,5,1,0,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Jack Redden,True
8,808,280078,Shuey,Luke,L,MID,,Midfielder,,16,WCE,West Coast,true,1,1,101.00,97,97,97.0,1.0412371134021,1.0412371134021,101.00,101.00,101.00,101,101,105,4878.2178217822,55,0,0,55,23,23,3,3,2,2,3,3,2,2,0,0,0,0,0,0,0,0,none,,,2664,7.9%,7.876297194217,HAW,post,False,False,False,False,False,False,1,10,M,I,D,1566641400,LOSS &lt;br&gt;58 - 102,BRL,post,L,101,88,23,3,2,3,2,0,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Luke Shuey,True
9,726,297373,Bontempelli,Marcus,M,MID,,Midfielder,,15,WBD,Western Bulldogs,true,1,1,158.00,96,96,96.0,1.6458333333333,1.6458333333333,158.00,158.00,158.00,158,158,97,3573.417721519,1,0,0,1,17,17,12,12,5,5,7,7,2,2,0,0,0,0,1,1,2,2,none,,,2976,8.8%,8.7987464151613,ADE,post,False,False,False,True,False,False,1,11,M,I,D,1566702600,WIN &lt;br&gt;82 - 65,SYD,post,M,158,125,17,12,5,7,2,0,0,1,2,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Marcus Bontempelli,True
10,91,261224,Zorko,Dayne,D,MID,,Midfielder,,2,BRL,Brisbane,true,1,1,112.00,110,110,110.0,1.0181818181818,1.0181818181818,112.00,112.00,112.00,112,112,76,4644.6428571429,27,0,0,27,15,15,5,5,2,2,8,8,3,3,-3,-3,0,0,1,1,1,1,none,,,2884,8.5%,8.5267421577033,RIC,post,False,False,True,False,False,False,1,12,M,I,D,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,D,112,95,15,5,2,8,3,-3,0,1,1,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Dayne Zorko,True
11,625,290627,Prestia,Dion,D,MID,,Midfielder,,12,RIC,Richmond,true,1,1,82.00,97,97,97.0,0.84536082474227,0.84536082474227,82.00,82.00,82.00,82,82,63,5885.3658536585,163,0,0,163,10,10,10,10,1,1,6,6,3,3,0,0,0,0,0,0,0,0,none,,,2208,6.5%,6.5281021789906,BRL,post,False,False,False,False,False,False,1,13,M,I,D,1566710400,WIN &lt;br&gt;97 - 64,CAR,post,D,82,87,10,10,1,6,3,0,0,0,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Dion Prestia,True
12,624,298174,Nankervis,Toby,T,RUC,,Ruck,,12,RIC,Richmond,true,1,1,127.00,103,103,103.0,1.2330097087379,1.2330097087379,127.00,127.00,127.00,127,127,78,4196.8503937008,14,0,0,14,13,13,4,4,2,2,2,2,2,2,0,0,34,34,3,3,0,0,none,,,2840,8.4%,8.3966531650061,BRL,post,False,False,False,False,False,False,1,14,R,U,C,1566710400,WIN &lt;br&gt;97 - 64,CAR,post,T,127,99,13,4,2,2,2,0,34,3,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Toby Nankervis,True
13,651,298421,Gresham,Jade,J,FWD,,Forward,,13,STK,St Kilda,true,1,1,86.00,90,90,90.0,0.95555555555556,0.95555555555556,86.00,86.00,86.00,86,86,121,4995.3488372093,130,0,0,130,12,12,7,7,2,2,2,2,1,1,-2,-2,0,0,1,1,0,0,none,,,1488,4.4%,4.3993732075806,SYD,post,False,False,False,False,False,False,1,16,F,W,D,1566618300,WIN &lt;br&gt;85 - 84,GCS,post,J,86,73,12,7,2,2,1,-2,0,1,0,1,Swimming n Titch vs DEVQON.1,2501,Swimming n Titch,Jade Gresham,True
