,fanfooty_player_id,afl_player_id,first_name,surname,afl_team,status,jumper_number,birth_date,height,weight,state_of_origin,recruited_from,game,goals,Full Name,SC Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Owner,Waiver,Free Agent,Status,Total Pts,Matches,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note,Alternative Name
333,39610,270917,Patrick,Dangerfield,Geelong,senior,35,5/04/1990,189,92,VIC,Geelong Falcons,239,"272""",Patrick Dangerfield,331,Patrick,Dangerfield,FWD,MID,GEE,,,,Swimming n Titch,,,owner,2419,21,156,115.19,146.33,119,Danger seemed to spend most of his time in the midfield which is exactly what we were hoping for. 27 touches and a goal was good but 6 clangers and 59% efficiency was what held him back.,,
422,41056,290528,Max,Gawn,Melbourne,senior,11,30/12/1991,208,111,VIC,Sandringham Dragons,115,"54""",Max Gawn,464,Max,Gawn,RUC,,MEL,,,,Fire The Worpedo,,,owner,2696,21,212,128.38,143.33,139.4,Gawn was targeted by the Power players and his scoring suffered as a result. He managed to get himself to 87 but at his price tag we need him back over 110.,,
698,46010,993834,Josh,Dunkley,Western Bulldogs,senior,5,9/01/1997,190,90,VIC,Gippsland Power,59,"33""",Josh Dunkley,734,Josh,Dunkley,FWD,MID,WBD,,,,TryingAnewStratton,,,owner,2562,22,106,116.45,142.67,124.6,Dunkley didn't take any marks but he did lay 7 tackles and have 20 touches. He just missed the 100 so don't panic just yet if you are an owner.,,
96,39680,270146,Ed,Curnow,Carlton,senior,35,7/11/1989,181,86,VIC,Geelong Falcons,160,"35""",Ed Curnow,97,Ed,Curnow,MID,,CAR,,,,Barbeques Treloar,,,owner,1998,22,126,90.82,133,114.6,Curnow took 12 marks against the Tigers. He also had 25 touches to go with them. He had a good game and was 4th equal top score or the Blues.,,
318,42321,291975,Jarrod,Witts,Gold Coast,senior,28,13/09/1992,209,111,NSW,Sydney University,97,"25""",Jarrod Witts,316,Jarrod,Witts,RUC,,GCS,,,,Swimming n Titch,,,owner,2193,22,152,99.68,129.33,120.2,,,
90,42302,261224,Dayne,Zorko,Brisbane Lions,senior,15,9/02/1989,175,74,QLD,Broadbeach,161,"176""",Dayne Zorko,91,Dayne,Zorko,MID,,BRL,,,,Swimming n Titch,,,owner,2346,22,141,106.64,129,114.6,Zorko was great with his 20 touches and 8 tackles. This is a level of scoring we are hoping to continue to see from him. The Lions were good and hopefully their form continues and it allows him to score like this.,,
76,42323,293535,Lachie,Neale,Brisbane Lions,senior,9,24/05/1993,177,80,SA,Glenelg,151,"73""",Lachie Neale,77,Lachie,Neale,MID,,BRL,,,,Salt&VinegarCripps,,,owner,2668,22,190,121.27,126,119.8,Neale has had a great start to his Lions career and top scored for the Lions. His 29 touches included 14 contested but impressively he used the ball well with 86% efficiency.,,
577,41008,290847,Dustin,Martin,Richmond,senior,4,26/06/1991,187,88,VIC,Bendigo Pioneers,217,"232""",Dustin Martin,618,Dustin,Martin,MID,,RIC,,,,Salt&VinegarCripps,,,owner,2000,20,108,100,126,117.2,Dusty had 30 touches and half of these were contested. He scored well but did look a bit rusty at times and got caught when normally he would get away. Look for a much better season from Dusty.,,
67,42132,293716,Jarryd,Lyons,Brisbane Lions,senior,17,22/07/1992,184,82,VIC,Sandringham Dragons,109,"59""",Jarryd Lyons,68,Jarryd,Lyons,MID,,BRL,,,,Fire The Worpedo,,,owner,2169,22,92,98.59,125,113.8,Lyons had a good preseason at his new home with a 109 then a huge 147. He doesn't come cheap at $502k but an interesting unique selection for you.,,
634,42336,293846,Seb,Ross,St Kilda,senior,6,7/05/1993,187,87,VIC,North Ballarat,119,"17""",Seb Ross,672,Sebastian,Ross,MID,0,STK,,,,Man of Steele,,,owner,2151,22,126,97.77,123.67,126,Ross had 27 touches but didn't have any tackles which kept his scoring down. Look for him to improve this week and hopefully return to the scoring we bought him in for.,0,Sebastian Ross
