,Unnamed: 0_x,id,feed_id,ln,fn,fi,pos,pos2,posn,pos2n,team_id,team,teamfull,pic,gs,rds,avg,mp,tmp,tog,ppm,tppm,avg3,avg5,form,pts,tpts,livepts,mvp,rank,lrank,rank_change,rdrank,ski,tski,sha,tsha,sma,tsma,sta,tsta,sfk,tsfk,sfa,tsfa,shi,tshi,sgl,tsgl,sbh,tsbh,status_x,status_comment,std,sels,selspct,selspctraw,opp,team_played_status,hot,cold,phot,pcold,ccow,wele,rd,index,p1,p2,p3,kickoff_time,match_status,team_opponent,played_status,fn_i,points,proj_points,stats.kicks,stats.handballs,stats.marks,stats.tackles,stats.freekicks_for,stats.freekicks_against,stats.hitouts,stats.goals,stats.behinds,Round,Match Name,Team ID,Team Name,Full Name_x,On Field?,Unnamed: 0_y,fanfooty_player_id,afl_player_id,first_name,surname,afl_team,status_y,jumper_number,birth_date,height,weight,state_of_origin,recruited_from,game,goals,Full Name_y,SC Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Owner,Waiver,Free Agent,Status,Total Pts,Matches,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note,Alternative Name,player_round_year_id
0,3,47,996059,Andrews,Harris,H,DEF,,Defender,,2,BRL,Brisbane,True,1,1,117.0,119,119,119.0,0.9831932773109201,0.9831932773109201,117.0,117.0,117.0,117,117,88,4103.4188034188,22,0,0,22,8,8,12,12,6,6,1,1,0,0,-1,-1,0,0,0,0,0,0,none,,,2806,8.3%,8.296129852467299,RIC,post,False,False,False,False,False,False,1,5,D,E,F,1566710400,WIN &lt;br&gt;102 - 58,WCE,post,H,117,93.0,8,12,6,1,0,-1,0,0,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Harris Andrews,True,46.0,45041.0,996059.0,Harris,Andrews,Brisbane Lions,senior,31.0,12/11/1996,202.0,100.0,QLD,Aspley,91.0,"9""",Harris Andrews,47.0,Harris,Andrews,DEF,,BRL,,,,Barbeques Treloar,,,owner,1572.0,19.0,72.0,82.74,89.0,79.6,,,,996059_1_2019
1,2,793,294859,McGovern,Jeremy,J,DEF,,Defender,,16,WCE,West Coast,True,1,1,87.0,106,106,106.0,0.8207547169811299,0.8207547169811299,87.0,87.0,87.0,87,87,134,5552.8735632184,122,0,0,122,8,8,4,4,5,5,1,1,3,3,-1,-1,3,3,0,0,0,0,none,,,2929,8.7%,8.6597877184165,HAW,post,False,False,False,False,False,False,1,4,D,E,F,1566641400,LOSS &lt;br&gt;58 - 102,BRL,post,J,87,90.0,8,4,5,1,3,-1,3,0,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Jeremy McGovern,True,759.0,42193.0,294859.0,Jeremy,McGovern,West Coast,senior,20.0,15/04/1992,195.0,100.0,WA,Claremont,119.0,"36""",Jeremy McGovern,793.0,Jeremy,McGovern,DEF,,WCE,,,,Barbeques Treloar,,,owner,1838.0,21.0,70.0,87.52,86.0,88.6,,,,294859_1_2019
2,0,209,998102,McGrath,Andrew,A,DEF,MID,Defender,Midfielder,5,ESS,Essendon,True,1,1,71.0,92,92,92.0,0.7717391304347799,0.7717391304347799,71.0,71.0,71.0,71,71,74,5412.676056338,214,0,0,214,14,14,9,9,4,4,3,3,0,0,0,0,0,0,0,0,0,0,none,,,1730,5.1%,5.1148626674157,COL,post,False,False,True,False,False,False,1,1,D,E,F,1566553800,LOSS &lt;br&gt;40 - 112,GWS,post,A,71,69.0,14,9,4,3,0,0,0,0,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Andrew McGrath,True,210.0,47003.0,998102.0,Andrew,McGrath,Essendon,senior,1.0,2/06/1998,178.0,78.0,VIC,Sandringham Dragons,58.0,"13""",Andrew McGrath,209.0,Andrew,McGrath,DEF,MID,ESS,,,,,Tue 27th 4am,,waiver,1618.0,22.0,88.0,73.55,72.33,70.6,,,,998102_1_2019
3,1,677,290757,Webster,Jimmy,J,DEF,,Defender,,13,STK,St Kilda,True,1,1,70.0,110,110,110.0,0.63636363636364,0.63636363636364,70.0,70.0,70.0,70,70,72,6747.1428571429005,220,0,0,220,13,13,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,none,,,2584,7.6%,7.6397717529491995,SYD,post,False,False,False,True,False,False,1,2,D,E,F,1566618300,WIN &lt;br&gt;85 - 84,GCS,post,J,70,86.0,13,7,1,1,0,0,0,0,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Jimmy Webster,True,639.0,42254.0,290757.0,Jimmy,Webster,St Kilda,senior,29.0,28/06/1993,188.0,83.0,TAS,Glenorchy,93.0,"3""",Jimmy Webster,677.0,Jimmy,Webster,DEF,,STK,,,,,Tue 27th 4am,,waiver,510.0,8.0,0.0,63.75,57.0,62.2,,,,290757_1_2019
4,4,573,292145,Jonas,Tom,T,DEF,,Defender,,11,PTA,Port Adelaide,True,1,1,64.0,117,117,117.0,0.5470085470085501,0.5470085470085501,64.0,64.0,64.0,64,64,82,7360.9375,255,0,0,255,6,6,6,6,2,2,2,2,1,1,-1,-1,0,0,0,0,0,0,none,,,2518,7.4%,7.4446382639032995,FRE,post,False,False,False,False,False,False,1,6,D,E,F,1566715200,WIN &lt;br&gt;87 - 61,MEL,post,T,64,81.0,6,6,2,2,1,-1,0,0,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Tom Jonas,True,532.0,42180.0,292145.0,Tom,Jonas,Port Adelaide,senior,42.0,9/01/1991,189.0,89.0,SA,Norwood,134.0,"1""",Tom Jonas,573.0,Tom,Jonas,DEF,,PTA,,,,Swimming n Titch,,,owner,1384.0,18.0,62.0,76.89,76.67,74.4,,,,292145_1_2019
5,17,589,260750,Westhoff,Justin,J,FWD,RUC,Forward,Ruck,11,PTA,Port Adelaide,True,1,1,149.0,100,100,100.0,1.49,1.49,149.0,149.0,149.0,149,149,47,3687.9194630872,4,0,0,4,12,12,6,6,9,9,5,5,1,1,-2,-2,0,0,5,5,0,0,none,,,2970,8.8%,8.781007007066199,FRE,post,False,False,False,False,False,False,1,22,F,W,D,1566715200,WIN &lt;br&gt;87 - 61,MEL,post,J,149,113.0,12,6,9,5,1,-2,0,5,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Justin Westhoff,True,549.0,39537.0,260750.0,Justin,Westhoff,Port Adelaide,senior,39.0,1/10/1986,200.0,93.0,SA,Central Districts,263.0,"301""",Justin Westhoff,589.0,Justin,Westhoff,FWD,RUC,PTA,,,,Salt&VinegarCripps,,,owner,1604.0,20.0,134.0,80.2,88.0,86.4,Westhoff didn't need the ruck duties to get his points. He kicked 5 goals and that was enough for him to get a game high 149 points. He won't get it all his own way every week but a great start.,,,260750_1_2019
6,14,421,291351,Gunston,Jack,J,FWD,,Forward,,8,HAW,Hawthorn,True,1,1,103.0,96,96,96.0,1.0729166666667,1.0729166666667,103.0,103.0,103.0,103,103,110,5062.1359223301,46,0,0,46,14,14,5,5,6,6,3,3,2,2,0,0,0,0,1,1,4,4,none,,,2842,8.4%,8.402566301037801,WCE,post,False,False,False,False,False,False,1,18,F,W,D,1566641400,WIN &lt;br&gt;87 - 55,ADE,post,J,103,90.0,14,5,6,3,2,0,0,1,4,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Jack Gunston,True,377.0,41085.0,291351.0,Jack,Gunston,Hawthorn,senior,19.0,16/10/1991,193.0,87.0,VIC,Sandringham Dragons,187.0,"359""",Jack Gunston,421.0,Jack,Gunston,FWD,,HAW,,,,Salt&VinegarCripps,,,owner,1597.0,20.0,91.0,79.85,84.67,84.8,,,,291351_1_2019
7,13,337,261510,Hawkins,Tom,T,FWD,,Forward,,7,GEE,Geelong,True,1,1,89.0,116,116,116.0,0.76724137931034,0.76724137931034,89.0,89.0,89.0,89,89,112,6212.3595505618005,112,0,0,112,7,7,5,5,6,6,4,4,0,0,-1,-1,0,0,2,2,2,2,none,,,2944,8.7%,8.7041362386542,CAR,post,False,False,True,False,False,False,1,17,F,W,D,1566628500,WIN &lt;br&gt;72 - 65,COL,post,T,89,94.0,7,5,6,4,0,-1,0,2,2,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Tom Hawkins,True,339.0,39517.0,261510.0,Tom,Hawkins,Geelong,senior,26.0,27/07/1988,198.0,110.0,VIC,Melbourne Grammar,248.0,"539""",Tom Hawkins,337.0,Tom,Hawkins,FWD,,GEE,,,,Salt&VinegarCripps,,,owner,1884.0,22.0,35.0,85.64,59.67,83.6,,,,261510_1_2019
8,15,413,280744,Breust,Luke,L,FWD,,Forward,,8,HAW,Hawthorn,True,1,1,72.0,104,104,104.0,0.69230769230769,0.69230769230769,72.0,72.0,72.0,72,72,82,7172.2222222222,209,0,0,209,5,5,7,7,1,1,3,3,1,1,-1,-1,0,0,1,1,0,0,none,,,2889,8.5%,8.5415249977826,WCE,post,False,False,False,False,False,False,1,19,F,W,D,1566641400,WIN &lt;br&gt;87 - 55,ADE,post,L,72,90.0,5,7,1,3,1,-1,0,1,0,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Luke Breust,True,369.0,40135.0,280744.0,Luke,Breust,Hawthorn,senior,22.0,11/11/1990,184.0,84.0,NSW,Temora,201.0,"385""",Luke Breust,413.0,Luke,Breust,FWD,,HAW,,,,Casting Crouch,,,owner,1694.0,22.0,126.0,77.0,83.67,68.0,,,,280744_1_2019
9,16,627,250395,Riewoldt,Jack,J,FWD,,Forward,,12,RIC,Richmond,True,1,1,50.0,122,122,122.0,0.40983606557377006,0.40983606557377006,50.0,50.0,50.0,50,50,33,10082.0,326,0,0,326,6,6,2,2,2,2,2,2,1,1,-4,-4,0,0,1,1,1,1,none,,,2900,8.6%,8.5740472459569,BRL,post,False,False,False,False,False,False,1,21,F,W,D,1566710400,WIN &lt;br&gt;97 - 64,CAR,post,J,50,103.0,6,2,2,2,1,-4,0,1,1,1,Barbeques Treloar vs Fire The Worpedo,8740,Barbeques Treloar,Jack Riewoldt,True,586.0,39539.0,250395.0,Jack,Riewoldt,Richmond,senior,8.0,31/10/1988,195.0,91.0,TAS,Tassie Mariners,254.0,"614""",Jack Riewoldt,627.0,Jack,Riewoldt,FWD,,RIC,,,,,Tue 27th 4am,,waiver,689.0,10.0,112.0,68.9,84.33,68.4,,,,250395_1_2019
