,Final,Game Number,ID,Points,Round,Team Name,Rank
0,18,1,344,1627,1,TryingAnewStratton,82.5
1,18,2,2501,1595,1,Swimming n Titch,102.0
2,18,3,8740,1640,1,Barbeques Treloar,74.0
3,18,4,397,1660,1,Man of Steele,65.0
4,18,1,344,1526,2,TryingAnewStratton,132.5
5,18,2,8740,1745,2,Barbeques Treloar,26.0
6,18,3,397,1672,2,Man of Steele,55.0
7,18,4,25252,1659,2,Casting Crouch,66.0
8,18,1,344,1692,3,TryingAnewStratton,43.5
9,18,2,397,1750,3,Man of Steele,23.0
10,18,3,25252,1716,3,Casting Crouch,38.0
11,18,4,11070,1499,3,Fire The Worpedo,145.5
12,18,1,344,1647,4,TryingAnewStratton,71.0
13,18,2,25252,1586,4,Casting Crouch,105.0
14,17,3,11070,1567,4,Fire The Worpedo,112.0
15,18,4,7061,1706,4,DEVQON.1,40.0
16,18,1,344,1806,5,TryingAnewStratton,12.0
17,18,2,11070,1541,5,Fire The Worpedo,128.0
18,18,3,7061,1405,5,DEVQON.1,161.5
19,18,4,831,1649,5,Salt&VinegarCripps,70.0
20,18,1,344,1746,6,TryingAnewStratton,24.5
21,18,2,7061,1636,6,DEVQON.1,77.0
22,18,3,831,1562,6,Salt&VinegarCripps,115.0
23,18,4,2501,1417,6,Swimming n Titch,159.0
24,18,1,344,1533,7,TryingAnewStratton,130.0
25,18,2,831,1762,7,Salt&VinegarCripps,20.0
26,17,3,2501,1554,7,Swimming n Titch,119.0
27,18,4,8740,1547,7,Barbeques Treloar,124.5
28,18,1,344,1687,8,TryingAnewStratton,48.0
29,18,2,2501,1509,8,Swimming n Titch,140.0
30,17,3,8740,1523,8,Barbeques Treloar,136.5
31,18,4,397,1717,8,Man of Steele,36.5
32,18,1,344,1717,9,TryingAnewStratton,36.5
33,18,2,8740,1507,9,Barbeques Treloar,143.0
34,18,3,397,1839,9,Man of Steele,5.0
35,18,4,25252,1405,9,Casting Crouch,161.5
36,18,1,344,1720,10,TryingAnewStratton,33.5
37,18,2,397,1632,10,Man of Steele,78.5
38,17,3,25252,1386,10,Casting Crouch,164.0
39,18,4,11070,1641,10,Fire The Worpedo,73.0
40,18,1,344,1874,11,TryingAnewStratton,3.0
41,18,2,25252,1448,11,Casting Crouch,156.0
42,18,3,11070,1730,11,Fire The Worpedo,29.0
43,17,4,7061,1644,11,DEVQON.1,72.0
44,13,1,344,1053,12,TryingAnewStratton,182.0
45,14,2,11070,1256,12,Fire The Worpedo,179.0
46,13,3,7061,1280,12,DEVQON.1,176.0
47,17,4,831,1596,12,Salt&VinegarCripps,101.0
48,14,1,344,1395,13,TryingAnewStratton,163.0
49,15,2,7061,1353,13,DEVQON.1,171.0
50,14,3,831,1288,13,Salt&VinegarCripps,174.0
51,17,4,2501,1467,13,Swimming n Titch,150.0
52,16,1,344,1374,14,TryingAnewStratton,166.0
53,17,2,831,1360,14,Salt&VinegarCripps,169.0
54,17,3,2501,1624,14,Swimming n Titch,86.0
55,12,4,8740,827,14,Barbeques Treloar,184.0
56,18,1,344,1525,15,TryingAnewStratton,134.5
57,18,2,2501,1684,15,Swimming n Titch,52.0
58,18,3,8740,1569,15,Barbeques Treloar,110.5
59,18,4,397,1663,15,Man of Steele,60.5
60,18,1,344,1796,16,TryingAnewStratton,13.0
61,18,2,8740,1525,16,Barbeques Treloar,134.5
62,18,3,397,1582,16,Man of Steele,107.0
63,18,4,25252,1610,16,Casting Crouch,91.5
64,18,1,344,1667,17,TryingAnewStratton,57.0
65,18,2,397,1667,17,Man of Steele,57.0
66,17,3,25252,1564,17,Casting Crouch,113.5
67,18,4,11070,1791,17,Fire The Worpedo,14.0
68,17,1,344,1624,18,TryingAnewStratton,86.0
69,18,2,25252,1594,18,Casting Crouch,103.5
70,18,3,11070,1727,18,Fire The Worpedo,30.5
71,18,4,7061,1623,18,DEVQON.1,88.5
