,Team Name,Round_x,Full Name_x,pts,Match Name,Fanfooty Match ID
30,Fire The Worpedo,1,Jack Darling,75,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6906
92,Swimming n Titch,1,Alex Rance,36,Swimming n Titch vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6901
113,DEVQON.1,1,Tom Doedee,56,Swimming n Titch vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6904
148,TryingAnewStratton,1,Liam Shiels,54,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6904
192,Salt&VinegarCripps,2,Marc Murphy,51,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6913
201,Barbeques Treloar,2,Andrew McGrath,74,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6912
207,Barbeques Treloar,2,Jack Riewoldt,33,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6910
332,Swimming n Titch,2,Luke Ryan,78,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6918
334,Swimming n Titch,2,Steven May,23,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6914
355,Salt&VinegarCripps,3,Dan Houston,72,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6923
361,Salt&VinegarCripps,3,Tom McDonald,26,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6920
405,DEVQON.1,3,Darcy Moore,79,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6924
412,DEVQON.1,3,Tom Rockliff,36,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6923
422,Fire The Worpedo,3,Jayden Short,7,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6922
521,Barbeques Treloar,3,Nat Fyfe,63,TryingAnewStratton vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6927
544,Barbeques Treloar,4,Chris Mayne,7,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6929
545,Barbeques Treloar,4,Callum Sinclair,35,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6928
588,Salt&VinegarCripps,4,Callan Ward,4,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6930
602,DEVQON.1,4,Tom Lynch,62,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6933
650,Fire The Worpedo,4,Brad Crouch,77,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6933
707,DEVQON.1,5,Wayne Milera,41,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6944
730,Barbeques Treloar,5,Harris Andrews,60,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6937
888,DEVQON.1,6,Rory Lobb,75,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6952
889,DEVQON.1,6,Devon Smith,35,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6947
906,Casting Crouch,6,Nic Newman,57,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6953
927,Man of Steele,6,Ryan Burton,64,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6948
950,Salt&VinegarCripps,6,Kade Simpson,35,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6953
976,Swimming n Titch,6,Robbie Gray,54,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6948
982,Swimming n Titch,6,Harry Cunningham,77,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6951
1037,Fire The Worpedo,6,Luke Hodge,52,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6949
1038,Fire The Worpedo,6,Lachie Whitfield,45,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6951
1048,Fire The Worpedo,6,Jack Viney,73,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6946
1060,Man of Steele,7,Bachar Houli,71,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6959
1079,Barbeques Treloar,7,Nick Vlastuin,77,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6959
1094,Barbeques Treloar,7,Harry Cunningham,52,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6958
1153,Swimming n Titch,7,Patrick Dangerfield,26,Swimming n Titch vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6962
1203,TryingAnewStratton,7,Taylor Adams,60,TryingAnewStratton vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6955
1280,Man of Steele,8,Ryan Burton,6,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6969
1291,Man of Steele,8,Jack Steele,78,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6968
1313,Casting Crouch,8,Matt Crouch,54,Man of Steele vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=6969
1372,TryingAnewStratton,8,Zac Fisher,55,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6966
1389,Salt&VinegarCripps,8,Jeremy McGovern,71,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6968
1402,Salt&VinegarCripps,8,Jarrod Berry,70,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6965
1476,Casting Crouch,9,Zac Williams,75,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6981
1477,Casting Crouch,9,Zak Jones,46,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6978
1491,Casting Crouch,9,Ben McEvoy,39,Casting Crouch vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=6980
1522,DEVQON.1,9,Christian Salem,59,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6973
1556,TryingAnewStratton,9,Marc Murphy,18,TryingAnewStratton vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6981
1600,Salt&VinegarCripps,10,Stephen Coniglio,76,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6988
1637,DEVQON.1,10,Daniel Wells,64,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1642,DEVQON.1,10,Tom Rockliff,72,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6983
1666,Fire The Worpedo,10,George Hewett,31,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1687,Man of Steele,10,Dylan Shiel,68,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6987
1688,Man of Steele,10,Josh P. Kennedy,68,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6982
1768,Barbeques Treloar,11,Jack Gunston,61,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6995
1791,Casting Crouch,11,Chad Wingard,43,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=6995
1842,DEVQON.1,11,Rory Sloane,35,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=6996
1873,Fire The Worpedo,11,Lachie Whitfield,65,Fire The Worpedo vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=6993
1901,TryingAnewStratton,11,Toby Greene,60,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6993
1918,Man of Steele,11,Jamie Macmillan,47,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6991
1923,Man of Steele,11,David Mundy,40,TryingAnewStratton vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=6992
1938,DEVQON.1,12,Jarrad McVeigh,68,DEVQON.1 vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7004
2084,TryingAnewStratton,12,Shaun Higgins,11,TryingAnewStratton vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7002
2149,Casting Crouch,13,Ed Curnow,39,DEVQON.1 vs Casting Crouch,http://live.fanfooty.com.au/game/matchcentre.html?id=7010
2167,Man of Steele,13,David Armitage,67,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7008
2168,Man of Steele,13,Dylan Shiel,61,Salt&VinegarCripps vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7007
2238,Barbeques Treloar,13,Tom Liberatore,30,Swimming n Titch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7010
2252,TryingAnewStratton,13,Matt de Boer,47,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7011
2270,Fire The Worpedo,13,Jeremy Finlayson,56,TryingAnewStratton vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7011
2290,Man of Steele,14,Jeremy Howe,23,Barbeques Treloar vs Man of Steele,http://live.fanfooty.com.au/game/matchcentre.html?id=7017
2339,Salt&VinegarCripps,14,Lance Franklin,52,Salt&VinegarCripps vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7013
2340,Salt&VinegarCripps,14,Luke Dahlhaus,39,Salt&VinegarCripps vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7016
2450,DEVQON.1,14,Tim Kelly,76,TryingAnewStratton vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7016
2480,Barbeques Treloar,15,Brayden Sier,13,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7022
2481,Barbeques Treloar,15,Tom Bellchambers,67,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7018
2495,Fire The Worpedo,15,Oscar McInerney,22,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7025
2503,Fire The Worpedo,15,Max Gawn,46,Barbeques Treloar vs Fire The Worpedo,http://live.fanfooty.com.au/game/matchcentre.html?id=7025
2627,Salt&VinegarCripps,15,Charlie Curnow,5,TryingAnewStratton vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7026
2648,Salt&VinegarCripps,16,Luke Dahlhaus,64,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7031
2677,Barbeques Treloar,16,Nat Fyfe,76,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7032
2678,Barbeques Treloar,16,Joel Selwood,69,Barbeques Treloar vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7031
2731,Man of Steele,16,Alex Keath,74,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7030
2737,Man of Steele,16,Josh Battle,4,Man of Steele vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7034
2824,Salt&VinegarCripps,17,Toby McLean,16,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7043
2825,Salt&VinegarCripps,17,Darcy Moore,13,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7036
2832,Salt&VinegarCripps,17,Stephen Coniglio,0,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7042
2847,Casting Crouch,17,Patrick Lipinski,58,Casting Crouch vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7043
2864,DEVQON.1,17,Michael Hurley,32,Fire The Worpedo vs DEVQON.1,http://live.fanfooty.com.au/game/matchcentre.html?id=7039
2930,Swimming n Titch,17,Ryan Burton,41,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7044
2935,Swimming n Titch,17,Jamie Cripps,9,Man of Steele vs Swimming n Titch,http://live.fanfooty.com.au/game/matchcentre.html?id=7036
2992,Barbeques Treloar,18,Steven May,69,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7052
3005,Barbeques Treloar,18,Patrick Cripps,73,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7047
3018,Casting Crouch,18,Matthew Suckling,66,Casting Crouch vs Barbeques Treloar,http://live.fanfooty.com.au/game/matchcentre.html?id=7053
3038,Salt&VinegarCripps,18,Jeremy McGovern,75,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7052
3075,DEVQON.1,18,Matthew Kreuzer,53,DEVQON.1 vs Salt&VinegarCripps,http://live.fanfooty.com.au/game/matchcentre.html?id=7047
