First Name|Last Name|Pos1|Pos2|Team|Total Pts|Rds|Rd Pts|Avg|Avg 3|Avg 5|MVP|Status Comment|Player Note
Brodie|Grundy|RUC||COL|2860|22|157|130.0|122.0|120.8|4740|N/A|Grundy didn't have a massive start to the season but he did come home well after a slow start to the game. He gave away 5 free kicks and just the 55% efficiency rating from his 18 touches.
Jack|Macrae|MID||WBD|2710|22|119|123.18|120.33|133.8|5299.4833948339|N/A|Macrae had the second best score for the Dogs from his 32 touches and 3 tackles. He also had a massive 15 clearances. His efficiency was down at 68% but owners can't be unhappy with a return of 132.
Max|Gawn|RUC||MEL|2696|21|212|128.38|143.33|139.4|4972.7002967359|N/A|Gawn was targeted by the Power players and his scoring suffered as a result. He managed to get himself to 87 but at his price tag we need him back over 110.
Lachie|Neale|MID||BRL|2668|22|190|121.27|126.0|119.8|4620.1649175412|N/A|Neale has had a great start to his Lions career and top scored for the Lions. His 29 touches included 14 contested but impressively he used the ball well with 86% efficiency.
Josh|Dunkley|FWD|MID|WBD|2562|22|106|116.45|142.67|124.6|5659.718969555|N/A|Dunkley didn't take any marks but he did lay 7 tackles and have 20 touches. He just missed the 100 so don't panic just yet if you are an owner.
Marcus|Bontempelli|MID||WBD|2524|22|140|114.73|109.67|125.4|5029.3185419968|N/A|Bontempelli showed us exactly why he has been a popular pick in previous seasons. 29 touches and 7 tackles including a goal was a great result which delivered owners 158 points. His role was a mix of midfield and forward time. Hopefully he can spend more time in the midfield to maintain high scores.
Adam|Treloar|MID||COL|2495|22|99|113.41|114.0|128.4|5538.3567134269|N/A|Treloar had 34 touches and 6 tackles but 10 of those touches were clangers which kept his score down to just over 100. However he was the only Pie over 100 for the game. He will be a gun again this season.
Todd|Goldstein|RUC||NTH|2469|22|69|112.23|122.67|123.6|5630.5386796274|N/A|Goldy was one of the top scoring rucks of the week with his 102 from 23 touches 34 hitouts and a goal. A great option for those that started with him.
Patrick|Dangerfield|FWD|MID|GEE|2419|21|156|115.19|146.33|119.0|5231.3352625052|N/A|Danger seemed to spend most of his time in the midfield which is exactly what we were hoping for. 27 touches and a goal was good but 6 clangers and 59% efficiency was what held him back.
Clayton|Oliver|MID||MEL|2406|22|109|109.36|99.0|106.8|4944.0565253533|N/A|Oliver was quiet as he only had one mark and two tackles. The Demons didn't have a great day and this could be why he was down. Hopefully he can turn this around next week.
Nat|Fyfe|MID||FRE|2400|20|108|120.0|118.0|120.4|5150.8333333333|N/A|Fyfe was great with 10 kicks and 22 handballs. His 32 touches came at 78% efficiency and he had 10 clearances which was 3 more than any other player on the ground. He is worth putting on watch for next weeks trades.
Jake|Lloyd|DEF||SYD|2396|22|113|108.91|95.67|92.0|4427.5459098497|N/A|Lloyd was the only Swan over 100 and he got there in style from 35 touches at 85% and 10 marks. He is on his way to being one of the top defenders again.
Dayne|Zorko|MID||BRL|2346|22|141|106.64|129.0|114.6|5302.1312872975|N/A|Zorko was great with his 20 touches and 8 tackles. This is a level of scoring we are hoping to continue to see from him. The Lions were good and hopefully their form continues and it allows him to score like this.
Patrick|Cripps|MID||CAR|2342|20|148|117.1|122.33|119.4|4785.6532877882|N/A|Cripps had the second best score for the Blues with 21 of his 32 touches contested and his efficiency was up at 81%. The only downside on his game was that 22 of those 32 touches were by hand.
Zach|Merrett|MID||ESS|2324|22|78|105.64|99.33|99.8|4888.4681583477|N/A|Merrett didn't have a great game with just 16 touches one mark and 3 tackles. He is competing with an extra player (Shiel) in the midfield and this doesn't seem to be helping his scoring.
Luke|Parker|MID||SYD|2312|22|141|105.09|94.67|88.8|4223.0103806228|N/A|N/A
Scott|Pendlebury|MID||COL|2295|22|115|104.32|114.0|108.4|5183.1808278867|N/A|N/A
Tim|Kelly|FWD|MID|GEE|2276|22|115|103.45|101.67|105.4|4842.7065026362|N/A|Kelly was fantastic and had the ball on a string in the first term. His 31 touches came at a 67% but 12 of those touches were contested. Look for him to be a popular trade in in the first few weeks.
Mitch|Duncan|MID||GEE|2271|22|79|103.23|87.33|89.8|4600.5284015852|N/A|N/A
Rory|Sloane|MID||ADE|2266|22|106|103.0|87.33|90.8|4399.0291262136|N/A|Sloane returned to former glory scoring that we thought he could do. 9 tackles to go with his 36 touches which came at 76% and included 11 clearances! He will come into a few teams on the back of this performance.
Elliot|Yeo|MID||WCE|2260|21|93|107.62|110.67|114.8|5233.2743362832|N/A|Yeo didn't get the score that we need him to for his price. He was one of many Eagles that had a  down day. He did have 25 touches but he did have an efficiency of only 44%. Hopefully he can turn this around next week.
Travis|Boak|FWD||PTA|2252|21|74|107.24|78.0|89.8|4362.2557726465|N/A|Boak has been reborn this year with 34 touches and a team high 5 clearances to get to his 119.
Tim|Taranto|MID||GWS|2252|22|97|102.36|91.67|91.8|4550.4440497336|N/A|Taranto was talked about all through the preseason and he came up with the goods for us. 30 touches with 21 by foot and 10 tackles. The only blemish was that his efficiency was just under 50% which saw his score a little restricted.
Ben|Cunnington|MID||NTH|2245|22|46|102.05|87.67|82.8|4378.4409799555|N/A|N/A
Dion|Prestia|MID||RIC|2229|22|116|101.32|115.67|121.2|5656.4378645132|N/A|N/A
Luke|Shuey|MID||WCE|2221|22|107|100.95|91.33|91.2|4611.9765871229|N/A|Shuey was one of just 3 Eagles over 100 this week. He had 26 touches and 23 were kicks which was great for us. He could have scored better as just 57% of those disposals were effective but it wasn't a great night for them so don't panic just yet.
